flag_name,flag_type,flag_text,flag_field
person_id_matches_cabinet_minister,warning,Nama dan ID cocok dengan yang saat ini menjabat di pemerintahan.,person_id
company_id_invalid,error,ID perusahaan tidak valid,company_id
company_in_blacklisted_jurisdiction,warning,Perusahaan yang teregistrasi berada di yuridiksi yang masuk dalam daftar hitam.,jurisdiction
company_in_multiple_applications_to_tender,warning,Perusahaan ini muncul di beberapa aplikasi pada tender ini.,company_id
person_in_multiple_applications_to_tender,warning,Orang ini memiliki kontrol terhadap beberapa aplikasi pada tender ini.,person_id
