flag_name,flag_type,flag_text,flag_field
person_id_matches_cabinet_minister,warning,Nombre e ID coinciden con un alto funcionario del gobierno,person_id
company_id_invalid,error,ID de empresa no es válido,company_id
company_in_blacklisted_jurisdiction,warning,Empresa constituida en un país de alto riesgo,jurisdiction
company_in_multiple_applications_to_tender,warning,Empresa vinculada a varias postulaciones a la misma licitación.,company_id
person_in_multiple_applications_to_tender,warning,Esta persona ejerece control sobre más de una de las empresas licitantes,person_id
